Diagnosis,ICD Code
"Laceration of flexor muscle, fascia and tendon of unspecified finger at forearm level",S56129
"Other injury of flexor muscle, fascia and tendon of other and unspecified finger at forearm level",S5619
"Other injury of flexor muscle, fascia and tendon of right index finger at forearm level",S56191
"Other injury of flexor muscle, fascia and tendon of left index finger at forearm level",S56192
"Other injury of flexor muscle, fascia and tendon of right middle finger at forearm level",S56193
"Other injury of flexor muscle, fascia and tendon of left middle finger at forearm level",S56194
"Other injury of flexor muscle, fascia and tendon of right ring finger at forearm level",S56195
"Other injury of flexor muscle, fascia and tendon of left ring finger at forearm level",S56196
"Other injury of flexor muscle, fascia and tendon of right little finger at forearm level",S56197
"Other injury of flexor muscle, fascia and tendon of left little finger at forearm level",S56198
"Other injury of flexor muscle, fascia and tendon of unspecified finger at forearm level",S56199
"Injury of other flexor muscle, fascia and tendon at forearm level",S562
"Unspecified injury of other flexor muscle, fascia and tendon at forearm level",S5620
"Unspecified injury of other flexor muscle, fascia and tendon at forearm level, right arm",S56201
"Unspecified injury of other flexor muscle, fascia and tendon at forearm level, left arm",S56202
"Unspecified injury of other flexor muscle, fascia and tendon at forearm level, unspecified arm",S56209
"Strain of other flexor muscle, fascia and tendon at forearm level",S5621
"Strain of other flexor muscle, fascia and tendon at forearm level, right arm",S56211
"Strain of other flexor muscle, fascia and tendon at forearm level, left arm",S56212
"Strain of other flexor muscle, fascia and tendon at forearm level, unspecified arm",S56219
"Laceration of other flexor muscle, fascia and tendon at forearm level",S5622
"Laceration of other flexor muscle, fascia and tendon at forearm level, right arm",S56221
"Laceration of other flexor muscle, fascia and tendon at forearm level, left arm",S56222
"Laceration of other flexor muscle, fascia and tendon at forearm level, unspecified arm",S56229
"Other injury of other flexor muscle, fascia and tendon at forearm level",S5629
"Other injury of other flexor muscle, fascia and tendon at forearm level, right arm",S56291
"Other injury of other flexor muscle, fascia and tendon at forearm level, left arm",S56292
"Other injury of other flexor muscle, fascia and tendon at forearm level, unspecified arm",S56299
"Injury of extensor or abductor muscles, fascia and tendons of thumb at forearm level",S563
"Unspecified injury of extensor or abductor muscles, fascia and tendons of thumb at forearm level",S5630
"Unspecified injury of extensor or abductor muscles, fascia and tendons of right thumb at forearm level",S56301
"Unspecified injury of extensor or abductor muscles, fascia and tendons of left thumb at forearm level",S56302
"Unspecified injury of extensor or abductor muscles, fascia and tendons of unspecified thumb at forearm level",S56309
"Strain of extensor or abductor muscles, fascia and tendons of thumb at forearm level",S5631
"Strain of extensor or abductor muscles, fascia and tendons of right thumb at forearm level",S56311
"Strain of extensor or abductor muscles, fascia and tendons of left thumb at forearm level",S56312
"Strain of extensor or abductor muscles, fascia and tendons of unspecified thumb at forearm level",S56319
"Laceration of extensor or abductor muscles, fascia and tendons of thumb at forearm level",S5632
"Laceration of extensor or abductor muscles, fascia and tendons of right thumb at forearm level",S56321
"Laceration of extensor or abductor muscles, fascia and tendons of left thumb at forearm level",S56322
"Laceration of extensor or abductor muscles, fascia and tendons of unspecified thumb at forearm level",S56329
"Other injury of extensor or abductor muscles, fascia and tendons of thumb at forearm level",S5639
"Other injury of extensor or abductor muscles, fascia and tendons of right thumb at forearm level",S56391
"Other injury of extensor or abductor muscles, fascia and tendons of left thumb at forearm level",S56392
"Other injury of extensor or abductor muscles, fascia and tendons of unspecified thumb at forearm level",S56399
"Injury of extensor muscle, fascia and tendon of other and unspecified finger at forearm level",S564
"Unspecified injury of extensor muscle, fascia and tendon of other and unspecified finger at forearm level",S5640
"Unspecified injury of extensor muscle, fascia and tendon of right index finger at forearm level",S56401
"Unspecified injury of extensor muscle, fascia and tendon of left index finger at forearm level",S56402
"Unspecified injury of extensor muscle, fascia and tendon of right middle finger at forearm level",S56403
"Unspecified injury of extensor muscle, fascia and tendon of left middle finger at forearm level",S56404
"Unspecified injury of extensor muscle, fascia and tendon of right ring finger at forearm level",S56405
"Unspecified injury of extensor muscle, fascia and tendon of left ring finger at forearm level",S56406
"Unspecified injury of extensor muscle, fascia and tendon of right little finger at forearm level",S56407
"Unspecified injury of extensor muscle, fascia and tendon of left little finger at forearm level",S56408
"Unspecified injury of extensor muscle, fascia and tendon of unspecified finger at forearm level",S56409
"Strain of extensor muscle, fascia and tendon of other and unspecified finger at forearm level",S5641
"Strain of extensor muscle, fascia and tendon of right index finger at forearm level",S56411
"Strain of extensor muscle, fascia and tendon of left index finger at forearm level",S56412
"Strain of extensor muscle, fascia and tendon of right middle finger at forearm level",S56413
"Strain of extensor muscle, fascia and tendon of left middle finger at forearm level",S56414
"Strain of extensor muscle, fascia and tendon of right ring finger at forearm level",S56415
"Strain of extensor muscle, fascia and tendon of left ring finger at forearm level",S56416
"Strain of extensor muscle, fascia and tendon of right little finger at forearm level",S56417
"Strain of extensor muscle, fascia and tendon of left little finger at forearm level",S56418
"Strain of extensor muscle, fascia and tendon of finger, unspecified finger at forearm level",S56419
"Laceration of extensor muscle, fascia and tendon of other and unspecified finger at forearm level",S5642
"Laceration of extensor muscle, fascia and tendon of right index finger at forearm level",S56421
"Laceration of extensor muscle, fascia and tendon of left index finger at forearm level",S56422
"Laceration of extensor muscle, fascia and tendon of right middle finger at forearm level",S56423
"Laceration of extensor muscle, fascia and tendon of left middle finger at forearm level",S56424
"Laceration of extensor muscle, fascia and tendon of right ring finger at forearm level",S56425
"Laceration of extensor muscle, fascia and tendon of left ring finger at forearm level",S56426
"Laceration of extensor muscle, fascia and tendon of right little finger at forearm level",S56427
"Laceration of extensor muscle, fascia and tendon of left little finger at forearm level",S56428
"Laceration of extensor muscle, fascia and tendon of unspecified finger at forearm level",S56429
"Other injury of extensor muscle, fascia and tendon of other and unspecified finger at forearm level",S5649
"Other injury of extensor muscle, fascia and tendon of right index finger at forearm level",S56491
"Other injury of extensor muscle, fascia and tendon of left index finger at forearm level",S56492
"Other injury of extensor muscle, fascia and tendon of right middle finger at forearm level",S56493
"Other injury of extensor muscle, fascia and tendon of left middle finger at forearm level",S56494
"Other injury of extensor muscle, fascia and tendon of right ring finger at forearm level",S56495
"Other injury of extensor muscle, fascia and tendon of left ring finger at forearm level",S56496
"Other injury of extensor muscle, fascia and tendon of right little finger at forearm level",S56497
"Other injury of extensor muscle, fascia and tendon of left little finger at forearm level",S56498
"Other injury of extensor muscle, fascia and tendon of unspecified finger at forearm level",S56499
"Injury of other extensor muscle, fascia and tendon at forearm level",S565
"Unspecified injury of other extensor muscle, fascia and tendon at forearm level",S5650
"Unspecified injury of other extensor muscle, fascia and tendon at forearm level, right arm",S56501
"Unspecified injury of other extensor muscle, fascia and tendon at forearm level, left arm",S56502
"Unspecified injury of other extensor muscle, fascia and tendon at forearm level, unspecified arm",S56509
"Strain of other extensor muscle, fascia and tendon at forearm level",S5651
"Strain of other extensor muscle, fascia and tendon at forearm level, right arm",S56511
"Strain of other extensor muscle, fascia and tendon at forearm level, left arm",S56512
"Strain of other extensor muscle, fascia and tendon at forearm level, unspecified arm",S56519
"Laceration of other extensor muscle, fascia and tendon at forearm level",S5652
"Laceration of other extensor muscle, fascia and tendon at forearm level, right arm",S56521
"Laceration of other extensor muscle, fascia and tendon at forearm level, left arm",S56522
"Laceration of other extensor muscle, fascia and tendon at forearm level, unspecified arm",S56529
"Other injury of other extensor muscle, fascia and tendon at forearm level",S5659
"Other injury of other extensor muscle, fascia and tendon at forearm level, right arm",S56591
"Other injury of other extensor muscle, fascia and tendon at forearm level, left arm",S56592
"Other injury of other extensor muscle, fascia and tendon at forearm level, unspecified arm",S56599
"Injury of other muscles, fascia and tendons at forearm level",S568
"Unspecified injury of other muscles, fascia and tendons at forearm level",S5680
"Unspecified injury of other muscles, fascia and tendons at forearm level, right arm",S56801
"Unspecified injury of other muscles, fascia and tendons at forearm level, left arm",S56802
"Unspecified injury of other muscles, fascia and tendons at forearm level, unspecified arm",S56809
"Strain of other muscles, fascia and tendons at forearm level",S5681
"Strain of other muscles, fascia and tendons at forearm level, right arm",S56811
"Strain of other muscles, fascia and tendons at forearm level, left arm",S56812
"Strain of other muscles, fascia and tendons at forearm level, unspecified arm",S56819
"Laceration of other muscles, fascia and tendons at forearm level",S5682
"Laceration of other muscles, fascia and tendons at forearm level, right arm",S56821
"Laceration of other muscles, fascia and tendons at forearm level, left arm",S56822
"Laceration of other muscles, fascia and tendons at forearm level, unspecified arm",S56829
"Other injury of other muscles, fascia and tendons at forearm level",S5689
"Other injury of other muscles, fascia and tendons at forearm level, right arm",S56891
"Other injury of other muscles, fascia and tendons at forearm level, left arm",S56892
"Other injury of other muscles, fascia and tendons at forearm level, unspecified arm",S56899
"Injury of unspecified muscles, fascia and tendons at forearm level",S569
"Unspecified injury of unspecified muscles, fascia and tendons at forearm level",S5690
"Unspecified injury of unspecified muscles, fascia and tendons at forearm level, right arm",S56901
"Unspecified injury of unspecified muscles, fascia and tendons at forearm level, left arm",S56902
"Unspecified injury of unspecified muscles, fascia and tendons at forearm level, unspecified arm",S56909
"Strain of unspecified muscles, fascia and tendons at forearm level",S5691
"Strain of unspecified muscles, fascia and tendons at forearm level, right arm",S56911
"Strain of unspecified muscles, fascia and tendons at forearm level, left arm",S56912
"Strain of unspecified muscles, fascia and tendons at forearm level, unspecified arm",S56919
"Laceration of unspecified muscles, fascia and tendons at forearm level",S5692
"Laceration of unspecified muscles, fascia and tendons at forearm level, right arm",S56921
"Laceration of unspecified muscles, fascia and tendons at forearm level, left arm",S56922
"Laceration of unspecified muscles, fascia and tendons at forearm level, unspecified arm",S56929
"Other injury of unspecified muscles, fascia and tendons at forearm level",S5699
"Other injury of unspecified muscles, fascia and tendons at forearm level, right arm",S56991
"Other injury of unspecified muscles, fascia and tendons at forearm level, left arm",S56992
"Other injury of unspecified muscles, fascia and tendons at forearm level, unspecified arm",S56999
Crushing injury of elbow and forearm,S57
Crushing injury of elbow,S570
Crushing injury of unspecified elbow,S5700
Crushing injury of right elbow,S5701
Crushing injury of left elbow,S5702
Crushing injury of forearm,S578
Crushing injury of unspecified forearm,S5780
Crushing injury of right forearm,S5781
Crushing injury of left forearm,S5782
Traumatic amputation of elbow and forearm,S58
Traumatic amputation at elbow level,S580
Complete traumatic amputation at elbow level,S5801
"Complete traumatic amputation at elbow level, right arm",S58011
"Complete traumatic amputation at elbow level, left arm",S58012
"Complete traumatic amputation at elbow level, unspecified arm",S58019
Partial traumatic amputation at elbow level,S5802
"Partial traumatic amputation at elbow level, right arm",S58021
"Partial traumatic amputation at elbow level, left arm",S58022
"Partial traumatic amputation at elbow level, unspecified arm",S58029
Traumatic amputation at level between elbow and wrist,S581
Complete traumatic amputation at level between elbow and wrist,S5811
"Complete traumatic amputation at level between elbow and wrist, right arm",S58111
"Complete traumatic amputation at level between elbow and wrist, left arm",S58112
"Complete traumatic amputation at level between elbow and wrist, unspecified arm",S58119
Partial traumatic amputation at level between elbow and wrist,S5812
"Partial traumatic amputation at level between elbow and wrist, right arm",S58121
"Partial traumatic amputation at level between elbow and wrist, left arm",S58122
"Partial traumatic amputation at level between elbow and wrist, unspecified arm",S58129
"Traumatic amputation of forearm, level unspecified",S589
"Complete traumatic amputation of forearm, level unspecified",S5891
"Complete traumatic amputation of right forearm, level unspecified",S58911
"Complete traumatic amputation of left forearm, level unspecified",S58912
"Complete traumatic amputation of unspecified forearm, level unspecified",S58919
"Partial traumatic amputation of forearm, level unspecified",S5892
"Partial traumatic amputation of right forearm, level unspecified",S58921
"Partial traumatic amputation of left forearm, level unspecified",S58922
"Partial traumatic amputation of unspecified forearm, level unspecified",S58929
Other and unspecified injuries of elbow and forearm,S59
Physeal fracture of lower end of ulna,S590
Unspecified physeal fracture of lower end of ulna,S5900
"Unspecified physeal fracture of lower end of ulna, right arm",S59001
"Unspecified physeal fracture of lower end of ulna, left arm",S59002
"Unspecified physeal fracture of lower end of ulna, unspecified arm",S59009
Salter-Harris Type I physeal fracture of lower end of ulna,S5901
"Salter-Harris Type I physeal fracture of lower end of ulna, right arm",S59011
"Salter-Harris Type I physeal fracture of lower end of ulna, left arm",S59012
"Salter-Harris Type I physeal fracture of lower end of ulna, unspecified arm",S59019
Salter-Harris Type II physeal fracture of lower end of ulna,S5902
"Salter-Harris Type II physeal fracture of lower end of ulna, right arm",S59021
"Salter-Harris Type II physeal fracture of lower end of ulna, left arm",S59022
"Salter-Harris Type II physeal fracture of lower end of ulna, unspecified arm",S59029
Salter-Harris Type III physeal fracture of lower end of ulna,S5903
"Salter-Harris Type III physeal fracture of lower end of ulna, right arm",S59031
"Salter-Harris Type III physeal fracture of lower end of ulna, left arm",S59032
"Salter-Harris Type III physeal fracture of lower end of ulna, unspecified arm",S59039
Salter-Harris Type IV physeal fracture of lower end of ulna,S5904
"Salter-Harris Type IV physeal fracture of lower end of ulna, right arm",S59041
"Salter-Harris Type IV physeal fracture of lower end of ulna, left arm",S59042
"Salter-Harris Type IV physeal fracture of lower end of ulna, unspecified arm",S59049
Other physeal fracture of lower end of ulna,S5909
"Other physeal fracture of lower end of ulna, right arm",S59091
"Other physeal fracture of lower end of ulna, left arm",S59092
"Other physeal fracture of lower end of ulna, unspecified arm",S59099
Physeal fracture of upper end of radius,S591
Unspecified physeal fracture of upper end of radius,S5910
"Unspecified physeal fracture of upper end of radius, right arm",S59101
"Unspecified physeal fracture of upper end of radius, left arm",S59102
"Unspecified physeal fracture of upper end of radius, unspecified arm",S59109
Salter-Harris Type I physeal fracture of upper end of radius,S5911
"Salter-Harris Type I physeal fracture of upper end of radius, right arm",S59111
"Salter-Harris Type I physeal fracture of upper end of radius, left arm",S59112
"Salter-Harris Type I physeal fracture of upper end of radius, unspecified arm",S59119
Salter-Harris Type II physeal fracture of upper end of radius,S5912
"Salter-Harris Type II physeal fracture of upper end of radius, right arm",S59121
"Salter-Harris Type II physeal fracture of upper end of radius, left arm",S59122
"Salter-Harris Type II physeal fracture of upper end of radius, unspecified arm",S59129
Salter-Harris Type III physeal fracture of upper end of radius,S5913
"Salter-Harris Type III physeal fracture of upper end of radius, right arm",S59131
"Salter-Harris Type III physeal fracture of upper end of radius, left arm",S59132
"Salter-Harris Type III physeal fracture of upper end of radius, unspecified arm",S59139
Salter-Harris Type IV physeal fracture of upper end of radius,S5914
"Salter-Harris Type IV physeal fracture of upper end of radius, right arm",S59141
"Salter-Harris Type IV physeal fracture of upper end of radius, left arm",S59142
"Salter-Harris Type IV physeal fracture of upper end of radius, unspecified arm",S59149
Other physeal fracture of upper end of radius,S5919
"Other physeal fracture of upper end of radius, right arm",S59191
"Other physeal fracture of upper end of radius, left arm",S59192
"Other physeal fracture of upper end of radius, unspecified arm",S59199
Physeal fracture of lower end of radius,S592
Unspecified physeal fracture of lower end of radius,S5920
"Unspecified physeal fracture of lower end of radius, right arm",S59201
"Unspecified physeal fracture of lower end of radius, left arm",S59202
"Unspecified physeal fracture of lower end of radius, unspecified arm",S59209
Salter-Harris Type I physeal fracture of lower end of radius,S5921
"Salter-Harris Type I physeal fracture of lower end of radius, right arm",S59211
"Salter-Harris Type I physeal fracture of lower end of radius, left arm",S59212
"Salter-Harris Type I physeal fracture of lower end of radius, unspecified arm",S59219
Salter-Harris Type II physeal fracture of lower end of radius,S5922
"Salter-Harris Type II physeal fracture of lower end of radius, right arm",S59221
"Salter-Harris Type II physeal fracture of lower end of radius, left arm",S59222
"Salter-Harris Type II physeal fracture of lower end of radius, unspecified arm",S59229
Salter-Harris Type III physeal fracture of lower end of radius,S5923
"Salter-Harris Type III physeal fracture of lower end of radius, right arm",S59231
"Salter-Harris Type III physeal fracture of lower end of radius, left arm",S59232
"Salter-Harris Type III physeal fracture of lower end of radius, unspecified arm",S59239
Salter-Harris Type IV physeal fracture of lower end of radius,S5924
"Salter-Harris Type IV physeal fracture of lower end of radius, right arm",S59241
"Salter-Harris Type IV physeal fracture of lower end of radius, left arm",S59242
"Salter-Harris Type IV physeal fracture of lower end of radius, unspecified arm",S59249
Other physeal fracture of lower end of radius,S5929
"Other physeal fracture of lower end of radius, right arm",S59291
"Other physeal fracture of lower end of radius, left arm",S59292
"Other physeal fracture of lower end of radius, unspecified arm",S59299
Other specified injuries of elbow and forearm,S598
Other specified injuries of elbow,S5980
Other specified injuries of right elbow,S59801
Other specified injuries of left elbow,S59802
Other specified injuries of unspecified elbow,S59809
Other specified injuries of forearm,S5981
Other specified injuries right forearm,S59811
Other specified injuries left forearm,S59812
Other specified injuries unspecified forearm,S59819
Unspecified injury of elbow and forearm,S599
Unspecified injury of elbow,S5990
Unspecified injury of right elbow,S59901
Unspecified injury of left elbow,S59902
Unspecified injury of unspecified elbow,S59909
Unspecified injury of forearm,S5991
Unspecified injury of right forearm,S59911
Unspecified injury of left forearm,S59912
Unspecified injury of unspecified forearm,S59919
"Superficial injury of wrist, hand and fingers",S60
Contusion of finger without damage to nail,S600
Contusion of unspecified finger without damage to nail,S6000
Contusion of thumb without damage to nail,S6001
Contusion of right thumb without damage to nail,S60011
Contusion of left thumb without damage to nail,S60012
Contusion of unspecified thumb without damage to nail,S60019
Contusion of index finger without damage to nail,S6002
Contusion of right index finger without damage to nail,S60021
Contusion of left index finger without damage to nail,S60022
Contusion of unspecified index finger without damage to nail,S60029
Contusion of middle finger without damage to nail,S6003
Contusion of right middle finger without damage to nail,S60031
Contusion of left middle finger without damage to nail,S60032
Contusion of unspecified middle finger without damage to nail,S60039
Contusion of ring finger without damage to nail,S6004
Contusion of right ring finger without damage to nail,S60041
Contusion of left ring finger without damage to nail,S60042
Contusion of unspecified ring finger without damage to nail,S60049
Contusion of little finger without damage to nail,S6005
Contusion of right little finger without damage to nail,S60051
Contusion of left little finger without damage to nail,S60052
Contusion of unspecified little finger without damage to nail,S60059
Contusion of finger with damage to nail,S601
Contusion of unspecified finger with damage to nail,S6010
Contusion of thumb with damage to nail,S6011
Contusion of right thumb with damage to nail,S60111
Contusion of left thumb with damage to nail,S60112
Contusion of unspecified thumb with damage to nail,S60119
Contusion of index finger with damage to nail,S6012
Contusion of right index finger with damage to nail,S60121
Contusion of left index finger with damage to nail,S60122
Contusion of unspecified index finger with damage to nail,S60129
Contusion of middle finger with damage to nail,S6013
Contusion of right middle finger with damage to nail,S60131
Contusion of left middle finger with damage to nail,S60132
Contusion of unspecified middle finger with damage to nail,S60139
Contusion of ring finger with damage to nail,S6014
Contusion of right ring finger with damage to nail,S60141
Contusion of left ring finger with damage to nail,S60142
Contusion of unspecified ring finger with damage to nail,S60149
Contusion of little finger with damage to nail,S6015
Contusion of right little finger with damage to nail,S60151
Contusion of left little finger with damage to nail,S60152
Contusion of unspecified little finger with damage to nail,S60159
Contusion of wrist and hand,S602
Contusion of wrist,S6021
Contusion of right wrist,S60211
Contusion of left wrist,S60212
Contusion of unspecified wrist,S60219
Contusion of hand,S6022
Contusion of right hand,S60221
Contusion of left hand,S60222
Contusion of unspecified hand,S60229
Other superficial injuries of thumb,S603
Abrasion of thumb,S6031
Abrasion of right thumb,S60311
Abrasion of left thumb,S60312
Abrasion of unspecified thumb,S60319
Blister (nonthermal) of thumb,S6032
Blister (nonthermal) of right thumb,S60321
Blister (nonthermal) of left thumb,S60322
Blister (nonthermal) of unspecified thumb,S60329
External constriction of thumb,S6034
External constriction of right thumb,S60341
External constriction of left thumb,S60342
External constriction of unspecified thumb,S60349
Superficial foreign body of thumb,S6035
Superficial foreign body of right thumb,S60351
Superficial foreign body of left thumb,S60352
Superficial foreign body of unspecified thumb,S60359
Insect bite (nonvenomous) of thumb,S6036
Insect bite (nonvenomous) of right thumb,S60361
Insect bite (nonvenomous) of left thumb,S60362
Insect bite (nonvenomous) of unspecified thumb,S60369
Other superficial bite of thumb,S6037
Other superficial bite of right thumb,S60371
Other superficial bite of left thumb,S60372
Other superficial bite of unspecified thumb,S60379
Other superficial injuries of thumb,S6039
Other superficial injuries of right thumb,S60391
Other superficial injuries of left thumb,S60392
Other superficial injuries of unspecified thumb,S60399
Other superficial injuries of other fingers,S604
Abrasion of fingers,S6041
Abrasion of right index finger,S60410
Abrasion of left index finger,S60411
Abrasion of right middle finger,S60412
Abrasion of left middle finger,S60413
Abrasion of right ring finger,S60414
Abrasion of left ring finger,S60415
Abrasion of right little finger,S60416
Abrasion of left little finger,S60417
Abrasion of other finger,S60418
Abrasion of unspecified finger,S60419
Blister (nonthermal) of fingers,S6042
Blister (nonthermal) of right index finger,S60420
Blister (nonthermal) of left index finger,S60421
Blister (nonthermal) of right middle finger,S60422
Blister (nonthermal) of left middle finger,S60423
Blister (nonthermal) of right ring finger,S60424
Blister (nonthermal) of left ring finger,S60425
Blister (nonthermal) of right little finger,S60426
Blister (nonthermal) of left little finger,S60427
Blister (nonthermal) of other finger,S60428
Blister (nonthermal) of unspecified finger,S60429
External constriction of fingers,S6044
External constriction of right index finger,S60440
External constriction of left index finger,S60441
External constriction of right middle finger,S60442
External constriction of left middle finger,S60443
External constriction of right ring finger,S60444
External constriction of left ring finger,S60445
External constriction of right little finger,S60446
External constriction of left little finger,S60447
External constriction of other finger,S60448
External constriction of unspecified finger,S60449
Superficial foreign body of fingers,S6045
Superficial foreign body of right index finger,S60450
Superficial foreign body of left index finger,S60451
Superficial foreign body of right middle finger,S60452
Superficial foreign body of left middle finger,S60453
Superficial foreign body of right ring finger,S60454
Superficial foreign body of left ring finger,S60455
Superficial foreign body of right little finger,S60456
Superficial foreign body of left little finger,S60457
Superficial foreign body of other finger,S60458
Superficial foreign body of unspecified finger,S60459
Insect bite (nonvenomous) of fingers,S6046
Insect bite (nonvenomous) of right index finger,S60460
Insect bite (nonvenomous) of left index finger,S60461
Insect bite (nonvenomous) of right middle finger,S60462
Insect bite (nonvenomous) of left middle finger,S60463
Insect bite (nonvenomous) of right ring finger,S60464
Insect bite (nonvenomous) of left ring finger,S60465
Insect bite (nonvenomous) of right little finger,S60466
Insect bite (nonvenomous) of left little finger,S60467
Insect bite (nonvenomous) of other finger,S60468
Insect bite (nonvenomous) of unspecified finger,S60469
Other superficial bite of fingers,S6047
Other superficial bite of right index finger,S60470
Other superficial bite of left index finger,S60471
Other superficial bite of right middle finger,S60472
Other superficial bite of left middle finger,S60473
Other superficial bite of right ring finger,S60474
Other superficial bite of left ring finger,S60475
Other superficial bite of right little finger,S60476
Other superficial bite of left little finger,S60477
Other superficial bite of other finger,S60478
Other superficial bite of unspecified finger,S60479
Other superficial injuries of hand,S605
Abrasion of hand,S6051
Abrasion of right hand,S60511
Abrasion of left hand,S60512
Abrasion of unspecified hand,S60519
Blister (nonthermal) of hand,S6052
Blister (nonthermal) of right hand,S60521
Blister (nonthermal) of left hand,S60522
Blister (nonthermal) of unspecified hand,S60529
External constriction of hand,S6054
External constriction of right hand,S60541
External constriction of left hand,S60542
External constriction of unspecified hand,S60549
Superficial foreign body of hand,S6055
Superficial foreign body of right hand,S60551
Superficial foreign body of left hand,S60552
Superficial foreign body of unspecified hand,S60559
Insect bite (nonvenomous) of hand,S6056
Insect bite (nonvenomous) of right hand,S60561
Insect bite (nonvenomous) of left hand,S60562
Insect bite (nonvenomous) of unspecified hand,S60569
Other superficial bite of hand,S6057
Other superficial bite of hand of right hand,S60571
Other superficial bite of hand of left hand,S60572
Other superficial bite of hand of unspecified hand,S60579
Other superficial injuries of wrist,S608
Abrasion of wrist,S6081
Abrasion of right wrist,S60811
Abrasion of left wrist,S60812
Abrasion of unspecified wrist,S60819
Blister (nonthermal) of wrist,S6082
Blister (nonthermal) of right wrist,S60821
Blister (nonthermal) of left wrist,S60822
Blister (nonthermal) of unspecified wrist,S60829
External constriction of wrist,S6084
External constriction of right wrist,S60841
External constriction of left wrist,S60842
External constriction of unspecified wrist,S60849
Superficial foreign body of wrist,S6085
Superficial foreign body of right wrist,S60851
Superficial foreign body of left wrist,S60852
Superficial foreign body of unspecified wrist,S60859
Insect bite (nonvenomous) of wrist,S6086
Insect bite (nonvenomous) of right wrist,S60861
Insect bite (nonvenomous) of left wrist,S60862
Insect bite (nonvenomous) of unspecified wrist,S60869
Other superficial bite of wrist,S6087
Other superficial bite of right wrist,S60871
Other superficial bite of left wrist,S60872
Other superficial bite of unspecified wrist,S60879
"Unspecified superficial injury of wrist, hand and fingers",S609
Unspecified superficial injury of wrist,S6091
Unspecified superficial injury of right wrist,S60911
Unspecified superficial injury of left wrist,S60912
Unspecified superficial injury of unspecified wrist,S60919
Unspecified superficial injury of hand,S6092
Unspecified superficial injury of right hand,S60921
Unspecified superficial injury of left hand,S60922
Unspecified superficial injury of unspecified hand,S60929
Unspecified superficial injury of thumb,S6093
Unspecified superficial injury of right thumb,S60931
Unspecified superficial injury of left thumb,S60932
Unspecified superficial injury of unspecified thumb,S60939
Unspecified superficial injury of other fingers,S6094
Unspecified superficial injury of right index finger,S60940
Unspecified superficial injury of left index finger,S60941
Unspecified superficial injury of right middle finger,S60942
Unspecified superficial injury of left middle finger,S60943
Unspecified superficial injury of right ring finger,S60944
Unspecified superficial injury of left ring finger,S60945
Unspecified superficial injury of right little finger,S60946
Unspecified superficial injury of left little finger,S60947
Unspecified superficial injury of other finger,S60948
Unspecified superficial injury of unspecified finger,S60949
"Open wound of wrist, hand and fingers",S61
Open wound of thumb without damage to nail,S610
Unspecified open wound of thumb without damage to nail,S6100
Unspecified open wound of right thumb without damage to nail,S61001
Unspecified open wound of left thumb without damage to nail,S61002
Unspecified open wound of unspecified thumb without damage to nail,S61009
Laceration without foreign body of thumb without damage to nail,S6101
Laceration without foreign body of right thumb without damage to nail,S61011
Laceration without foreign body of left thumb without damage to nail,S61012
Laceration without foreign body of unspecified thumb without damage to nail,S61019
Laceration with foreign body of thumb without damage to nail,S6102
Laceration with foreign body of right thumb without damage to nail,S61021
Laceration with foreign body of left thumb without damage to nail,S61022
Laceration with foreign body of unspecified thumb without damage to nail,S61029
Puncture wound without foreign body of thumb without damage to nail,S6103
Puncture wound without foreign body of right thumb without damage to nail,S61031
Puncture wound without foreign body of left thumb without damage to nail,S61032
Puncture wound without foreign body of unspecified thumb without damage to nail,S61039
Puncture wound with foreign body of thumb without damage to nail,S6104
Puncture wound with foreign body of right thumb without damage to nail,S61041
Puncture wound with foreign body of left thumb without damage to nail,S61042
Puncture wound with foreign body of unspecified thumb without damage to nail,S61049
Open bite of thumb without damage to nail,S6105
Open bite of right thumb without damage to nail,S61051
Open bite of left thumb without damage to nail,S61052
Open bite of unspecified thumb without damage to nail,S61059
Open wound of thumb with damage to nail,S611
Unspecified open wound of thumb with damage to nail,S6110
Unspecified open wound of right thumb with damage to nail,S61101
Unspecified open wound of left thumb with damage to nail,S61102
Unspecified open wound of unspecified thumb with damage to nail,S61109
Laceration without foreign body of thumb with damage to nail,S6111
Laceration without foreign body of right thumb with damage to nail,S61111
Laceration without foreign body of left thumb with damage to nail,S61112
Laceration without foreign body of unspecified thumb with damage to nail,S61119
Laceration with foreign body of thumb with damage to nail,S6112
Laceration with foreign body of right thumb with damage to nail,S61121
Laceration with foreign body of left thumb with damage to nail,S61122
Laceration with foreign body of unspecified thumb with damage to nail,S61129
Puncture wound without foreign body of thumb with damage to nail,S6113
Puncture wound without foreign body of right thumb with damage to nail,S61131
Puncture wound without foreign body of left thumb with damage to nail,S61132
Puncture wound without foreign body of unspecified thumb with damage to nail,S61139
Puncture wound with foreign body of thumb with damage to nail,S6114
Puncture wound with foreign body of right thumb with damage to nail,S61141
Puncture wound with foreign body of left thumb with damage to nail,S61142
Puncture wound with foreign body of unspecified thumb with damage to nail,S61149
Open bite of thumb with damage to nail,S6115
Open bite of right thumb with damage to nail,S61151
Open bite of left thumb with damage to nail,S61152
Open bite of unspecified thumb with damage to nail,S61159
Open wound of other finger without damage to nail,S612
Unspecified open wound of other finger without damage to nail,S6120
Unspecified open wound of right index finger without damage to nail,S61200
Unspecified open wound of left index finger without damage to nail,S61201
Unspecified open wound of right middle finger without damage to nail,S61202
